original_snippet	mocked_snippet	var	tbd	type
"""import pandas as pd\nprint('Original Data Series:')\nprint(s)\nprint('\\nSubset of the above Data Series:')\nn = 6\nnew_s = s[s < n]\nprint(new_s)"""	"""class TBD2():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD0(int):\n\n    def __init__(self):\n        self.container = {'TBD2': TBD2()}\n        self.keys = list(self.container.keys())\n        self.iter_current = 0\n\n    def __refresh_keys(self):\n        self.keys = list(self.container.keys())\n        for key in self.keys:\n            if (not isinstance(key, int)):\n                return\n        sorted(self.keys)\n\n    def __str__(self):\n        self.__refresh_keys()\n        ret_str = ''\n        ret_str += '[ '\n        for (idx, (key, val)) in enumerate(self.container.items()):\n            ret_str += str(val)\n            if (idx < (len(self.keys) - 1)):\n                ret_str += ', '\n        ret_str += ' ]'\n        return ret_str\n\n    def __getitem__(self, key):\n        self.__refresh_keys()\n        ret_val = None\n        if isinstance(key, slice):\n            list_to_return = []\n            start = (key.start or 0)\n            stop = (key.stop or len(self.container))\n            step = (key.step or 1)\n            if (start < 0):\n                if ((start * (- 1)) > len(self.keys)):\n                    diff = ((start * (- 1)) - len(self.keys))\n                    if (len(self.keys) > 0):\n                        for i in range(max(self.keys), ((max(self.keys) + diff) + 1)):\n                            self.container[i] = 0\n                    else:\n                        for i in range(0, (diff + 1)):\n                            self.container[i] = 0\n                self.__refresh_keys()\n                start = self.keys[start]\n            if (stop < 0):\n                if ((stop * (- 1)) > len(self.keys)):\n                    diff = ((stop * (- 1)) - len(self.keys))\n                    if (len(self.keys) > 0):\n                        for i in range(max(self.keys), ((max(self.keys) + diff) + 1)):\n                            self.container[i] = 0\n                    else:\n                        for i in range(0, (diff + 1)):\n                            self.container[i] = 0\n                self.__refresh_keys()\n                stop = self.keys[stop]\n            for i in range(start, stop, step):\n                list_to_return.append(self.container[i])\n            ret_val = list_to_return\n        elif isinstance(key, int):\n            if (key < 0):\n                key = self.keys[key]\n            ret_val = self.container[key]\n        elif isinstance(key, str):\n            if (key not in self.container.keys()):\n                self.container[key] = key\n                print('[FROM INNER-WORLD], [ADD STR-KEY], [TGT {}], [ADDING (KEY, VALUE): ({}, {})]'.format(type(self).__name__, key, 'TBD'))\n            ret_val = self.container[key]\n        else:\n            if (key not in self.container.keys()):\n                self.container[key] = key\n                print('[FROM INNER-WORLD], [ADD OBJ-KEY], [TGT {}], [ADDING (KEY, VALUE): ({}, {})]'.format(type(self).__name__, type(key).__name__, 'TBD'))\n            ret_val = self.container[key]\n        return ret_val\n\n    def __setitem__(self, key, val):\n        self.__refresh_keys()\n        if isinstance(key, slice):\n            start = (key.start or 0)\n            stop = (key.stop or len(self.container))\n            step = (key.step or 1)\n            if (start < 0):\n                start = self.keys[start]\n            if (stop < 0):\n                stop = self.keys[stop]\n            for i in range(0, stop, step):\n                if (i not in self.keys):\n                    self.container[i] = 0\n            for i in range(start, stop, step):\n                self.container[i] = val\n            return True\n        elif isinstance(key, int):\n            if (key < 0):\n                key = self.keys[key]\n            for i in range(0, key):\n                if (i not in self.keys):\n                    self.container[i] = 0\n            self.container[key] = val\n            return True\n        elif isinstance(key, str):\n            self.container[key] = val\n            return True\n        self.__refresh_keys()\n        return False\n\n    def __iter__(self):\n        return iter(self.container.values())\n\n    def __len__(self):\n        return len(self.keys)\n\n    def __lt__(self, other):\n        return TBD2()\ns = TBD0()\n__original_start_marker = None\nimport pandas as pd\nprint('Original Data Series:')\nprint(s)\nprint('\\nSubset of the above Data Series:')\nn = 6\nnew_s = s[(s < n)]\nprint(new_s)"""	s	TBD0	Series
"""def combination(n, n_list):\n    if n <= 0:\n        yield []\n        return\n    for i in range(len(n_list)):\n        c_num = n_list[i:i + 1]\n        for a_num in combination(n - 1, n_list[i + 1:]):\n            yield (c_num + a_num)\nn_list = [1, 2, 3, 4, 5, 6, 7, 8, 9]\nprint('Original list:')\nprint(n_list)\nn = 2\nprint('\\nCombinations of', n, 'distinct objects:')\nfor e in result:\n    print(e)"""	"""result = {}\n__original_start_marker = None\n\ndef combination(n, n_list):\n    if (n <= 0):\n        (yield {})\n        return\n    for i in range(len(n_list)):\n        c_num = n_list[i:(i + 1)]\n        for a_num in combination((n - 1), n_list[(i + 1):]):\n            (yield (c_num + a_num))\nn_list = [1, 2, 3, 4, 5, 6, 7, 8, 9]\nprint('Original list:')\nprint(n_list)\nn = 2\nprint('\\nCombinations of', n, 'distinct objects:')\nfor e in result:\n    print(e)"""	result	TBD2	generator
"""import itertools\nnum = [[10, 20], [40], [30, 56, 25], [10, 20], [33], [40]]\nprint('Original List', num)\nnum.sort()\nprint('New List', new_num)"""	"""class TBD2():\n\n    def __init__(self, *args, **kwargs):\n        pass\nnew_num = TBD2()\n\nclass TBD1():\n\n    def __init__(self, *args, **kwargs):\n        pass\n__original_start_marker = None\nimport itertools\nnum = [[10, 20], [40], [30, 56, 25], [10, 20], [33], [40]]\nprint('Original List', num)\nnum.sort()\nprint('New List', new_num)"""	new_num	TBD2	list
"""import pandas as pd\nimport numpy as np\npd.set_option('display.max_rows', None)\ndf = pd.DataFrame({'ord_no': [70001, np.nan, 70002, 70004, np.nan, 70005, '--', 70010, 70003, 70012, np.nan, 70013], 'purch_amt': [150.5, 270.65, 65.26, 110.5, 948.5, 2400.6, 5760, '?', 12.43, 2480.4, 250.45, 3045.6], 'ord_date': ['?', '2012-09-10', np.nan, '2012-08-17', '2012-09-10', '2012-07-27', '2012-09-10', '2012-10-10', '2012-10-10', '2012-06-27', '2012-08-17', '2012-04-25'], 'customer_id': [3002, 3001, 3001, 3003, 3002, 3001, 3001, 3004, '--', 3002, 3001, 3001], 'salesman_id': [5002, 5003, '?', 5001, np.nan, 5002, 5001, '?', 5003, 5002, 5003, '--']})\nprint('Original Orders DataFrame:')\nprint(df)\nprint('\\nReplace the missing values with NaN:')\nprint(result)"""	"""class TBD6():\n\n    def __init__(self, *args, **kwargs):\n        pass\nresult = TBD6()\n__original_start_marker = None\nimport pandas as pd\nimport numpy as np\npd.set_option('display.max_rows', None)\ndf = pd.DataFrame({'ord_no': [70001, np.nan, 70002, 70004, np.nan, 70005, '--', 70010, 70003, 70012, np.nan, 70013], 'purch_amt': [150.5, 270.65, 65.26, 110.5, 948.5, 2400.6, 5760, '?', 12.43, 2480.4, 250.45, 3045.6], 'ord_date': ['?', '2012-09-10', np.nan, '2012-08-17', '2012-09-10', '2012-07-27', '2012-09-10', '2012-10-10', '2012-10-10', '2012-06-27', '2012-08-17', '2012-04-25'], 'customer_id': [3002, 3001, 3001, 3003, 3002, 3001, 3001, 3004, '--', 3002, 3001, 3001], 'salesman_id': [5002, 5003, '?', 5001, np.nan, 5002, 5001, '?', 5003, 5002, 5003, '--']})\nprint('Original Orders DataFrame:')\nprint(df)\nprint('\\nReplace the missing values with NaN:')\nprint(result)"""	result	TBD6	DataFrame
"""def test(lsts, key):\n    return [x.get(key) for x in lsts]\nprint('Original list of dictionaries:')\nprint(students)\nprint('\\nConvert a list of dictionaries into a list of values corresponding to the specified key:')\nprint(test(students, 'age'))"""	"""students = {}\n__original_start_marker = None\n\ndef test(lsts, key):\n    return [x.get(key) for x in lsts]\nprint('Original list of dictionaries:')\nprint(students)\nprint('\\nConvert a list of dictionaries into a list of values corresponding to the specified key:')\nprint(test(students, 'age'))"""	students	TBD0	list
"""def diff_consecutive_nums(nums):\n    result = [b - a for a, b in zip(nums[:-1], nums[1:])]\n    return result\nprint('Original list:')\nprint(nums1)\nprint('Difference between consecutive numbers of the said list:')\nprint(diff_consecutive_nums(nums1))\nnums2 = [4, 5, 8, 9, 6, 10]\nprint('\\nOriginal list:')\nprint(nums2)\nprint('Difference between consecutive numbers of the said list:')\nprint(diff_consecutive_nums(nums2))"""	"""class TBD1():\n\n    def __init__(self):\n        self.container = {}\n        self.keys = list(self.container.keys())\n        self.iter_current = 0\n\n    def __refresh_keys(self):\n        self.keys = list(self.container.keys())\n        for key in self.keys:\n            if (not isinstance(key, int)):\n                return\n        sorted(self.keys)\n\n    def __str__(self):\n        self.__refresh_keys()\n        ret_str = ''\n        ret_str += '[ '\n        for (idx, (key, val)) in enumerate(self.container.items()):\n            ret_str += str(val)\n            if (idx < (len(self.keys) - 1)):\n                ret_str += ', '\n        ret_str += ' ]'\n        return ret_str\n\n    def __getitem__(self, key):\n        self.__refresh_keys()\n        ret_val = None\n        if isinstance(key, slice):\n            list_to_return = []\n            start = (key.start or 0)\n            stop = (key.stop or len(self.container))\n            step = (key.step or 1)\n            if (start < 0):\n                if ((start * (- 1)) > len(self.keys)):\n                    diff = ((start * (- 1)) - len(self.keys))\n                    if (len(self.keys) > 0):\n                        for i in range(max(self.keys), ((max(self.keys) + diff) + 1)):\n                            self.container[i] = 0\n                    else:\n                        for i in range(0, (diff + 1)):\n                            self.container[i] = 0\n                self.__refresh_keys()\n                start = self.keys[start]\n            if (stop < 0):\n                if ((stop * (- 1)) > len(self.keys)):\n                    diff = ((stop * (- 1)) - len(self.keys))\n                    if (len(self.keys) > 0):\n                        for i in range(max(self.keys), ((max(self.keys) + diff) + 1)):\n                            self.container[i] = 0\n                    else:\n                        for i in range(0, (diff + 1)):\n                            self.container[i] = 0\n                self.__refresh_keys()\n                stop = self.keys[stop]\n            for i in range(start, stop, step):\n                list_to_return.append(self.container[i])\n            ret_val = list_to_return\n        elif isinstance(key, int):\n            if (key < 0):\n                key = self.keys[key]\n            ret_val = self.container[key]\n        elif isinstance(key, str):\n            if (key not in self.container.keys()):\n                self.container[key] = key\n                print('[FROM INNER-WORLD], [ADD STR-KEY], [TGT {}], [ADDING (KEY, VALUE): ({}, {})]'.format(type(self).__name__, key, 'TBD'))\n            ret_val = self.container[key]\n        else:\n            if (key not in self.container.keys()):\n                self.container[key] = key\n                print('[FROM INNER-WORLD], [ADD OBJ-KEY], [TGT {}], [ADDING (KEY, VALUE): ({}, {})]'.format(type(self).__name__, type(key).__name__, 'TBD'))\n            ret_val = self.container[key]\n        return ret_val\n\n    def __setitem__(self, key, val):\n        self.__refresh_keys()\n        if isinstance(key, slice):\n            start = (key.start or 0)\n            stop = (key.stop or len(self.container))\n            step = (key.step or 1)\n            if (start < 0):\n                start = self.keys[start]\n            if (stop < 0):\n                stop = self.keys[stop]\n            for i in range(0, stop, step):\n                if (i not in self.keys):\n                    self.container[i] = 0\n            for i in range(start, stop, step):\n                self.container[i] = val\n            return True\n        elif isinstance(key, int):\n            if (key < 0):\n                key = self.keys[key]\n            for i in range(0, key):\n                if (i not in self.keys):\n                    self.container[i] = 0\n            self.container[key] = val\n            return True\n        elif isinstance(key, str):\n            self.container[key] = val\n            return True\n        self.__refresh_keys()\n        return False\n\n    def __iter__(self):\n        return iter(self.container.values())\n\n    def __len__(self):\n        return len(self.keys)\nnums1 = TBD1()\n__original_start_marker = None\n\ndef diff_consecutive_nums(nums):\n    result = [(b - a) for (a, b) in zip(nums[:(- 1)], nums[1:])]\n    return result\nprint('Original list:')\nprint(nums1)\nprint('Difference between consecutive numbers of the said list:')\nprint(diff_consecutive_nums(nums1))\nnums2 = [4, 5, 8, 9, 6, 10]\nprint('\\nOriginal list:')\nprint(nums2)\nprint('Difference between consecutive numbers of the said list:')\nprint(diff_consecutive_nums(nums2))"""	nums1	TBD1	list
"""def unique_sublists(input_list):\n    result = {}\n    for l in input_list:\n        result.setdefault(tuple(l), list()).append(1)\n    for a, b in result.items():\n        result[a] = sum(b)\n    return result\nlist1 = [[1, 3], [5, 7], [1, 3], [13, 15, 17], [5, 7], [9, 11]]\nprint('Original list:')\nprint(list1)\nprint('Number of unique lists of the said list:')\nprint(unique_sublists(list1))\nprint('\\nOriginal list:')\nprint(color1)\nprint('Number of unique lists of the said list:')\nprint(unique_sublists(color1))"""	"""color1 = {}\n\nclass TBD3():\n\n    def __init__(self, *args, **kwargs):\n        pass\n__original_start_marker = None\n\ndef unique_sublists(input_list):\n    result = {}\n    for l in input_list:\n        result.setdefault(tuple(l), list()).append(1)\n    for (a, b) in result.items():\n        result[a] = sum(b)\n    return result\nlist1 = [[1, 3], [5, 7], [1, 3], [13, 15, 17], [5, 7], [9, 11]]\nprint('Original list:')\nprint(list1)\nprint('Number of unique lists of the said list:')\nprint(unique_sublists(list1))\nprint('\\nOriginal list:')\nprint(color1)\nprint('Number of unique lists of the said list:')\nprint(unique_sublists(color1))"""	color1	TBD5	list
"""x = 30\nprint('\\n%d+%d=%d' % (x, y, x + y))\nprint()"""	"""class TBD1():\n\n    def __init__(self, *args, **kwargs):\n        pass\ny = 0\n__original_start_marker = None\nx = 30\nprint(('\\n%d+%d=%d' % (x, y, (x + y))))\nprint()"""	y	TBD0	int
"""from itertools import groupby\ndef extract_elements(nums, n):\n    result = [i for i, j in groupby(nums) if len(list(j)) == n]\n    return result\nn = 2\nprint('Original list:')\nprint(nums1)\nprint('Extract 2 number of elements from the said list which follows each other continuously:')\nprint(extract_elements(nums1, n))\nnums2 = [0, 1, 2, 3, 4, 4, 4, 4, 5, 7]\nn = 4\nprint('Original lists:')\nprint(nums2)\nprint('Extract 4 number of elements from the said list which follows each other continuously:')\nprint(extract_elements(nums2, n))"""	"""nums1 = {}\n__original_start_marker = None\nfrom itertools import groupby\n\ndef extract_elements(nums, n):\n    result = [i for (i, j) in groupby(nums) if (len(list(j)) == n)]\n    return result\nn = 2\nprint('Original list:')\nprint(nums1)\nprint('Extract 2 number of elements from the said list which follows each other continuously:')\nprint(extract_elements(nums1, n))\nnums2 = [0, 1, 2, 3, 4, 4, 4, 4, 5, 7]\nn = 4\nprint('Original lists:')\nprint(nums2)\nprint('Extract 4 number of elements from the said list which follows each other continuously:')\nprint(extract_elements(nums2, n))"""	nums1	TBD1	list
"""print('Orginal list:')\nprint(nums)\nresult = list(filter(lambda x: x % 19 == 0 or x % 13 == 0, nums))\nprint('\\nNumbers of the above list divisible by nineteen or thirteen:')\nprint(result)"""	"""nums = {}\n__original_start_marker = None\nprint('Orginal list:')\nprint(nums)\nresult = list(filter((lambda x: (((x % 19) == 0) or ((x % 13) == 0))), nums))\nprint('\\nNumbers of the above list divisible by nineteen or thirteen:')\nprint(result)"""	nums	TBD0	list
"""import numpy as np\nnp.set_printoptions(linewidth=100)\nstudent = np.array([['01', 'V', 'Debby Pramod'], ['02', 'V', 'Artemiy Ellie'], ['03', 'V', 'Baptist Kamal'], ['04', 'V', 'Lavanya Davide'], ['05', 'V', 'Fulton Antwan'], ['06', 'V', 'Euanthe Sandeep'], ['07', 'V', 'Endzela Sanda'], ['08', 'V', 'Victoire Waman'], ['09', 'V', 'Briar Nur'], ['10', 'V', 'Rose Lykos']])\nprint('Original array:')\nprint(student)\nresult = student[np.char.startswith(student[:, 2], char)]\nprint('\\nStudent name starting with', char, ':')\nprint(result)\nchar = '1'\nresult = student[np.char.startswith(student[:, 0], char)]\nprint('\\nStudent id starting with', char, ':')\nprint(result)"""	"""char = ''\n__original_start_marker = None\nimport numpy as np\nnp.set_printoptions(linewidth=100)\nstudent = np.array([['01', 'V', 'Debby Pramod'], ['02', 'V', 'Artemiy Ellie'], ['03', 'V', 'Baptist Kamal'], ['04', 'V', 'Lavanya Davide'], ['05', 'V', 'Fulton Antwan'], ['06', 'V', 'Euanthe Sandeep'], ['07', 'V', 'Endzela Sanda'], ['08', 'V', 'Victoire Waman'], ['09', 'V', 'Briar Nur'], ['10', 'V', 'Rose Lykos']])\nprint('Original array:')\nprint(student)\nresult = student[np.char.startswith(student[(:, 2)], char)]\nprint('\\nStudent name starting with', char, ':')\nprint(result)\nchar = '1'\nresult = student[np.char.startswith(student[(:, 0)], char)]\nprint('\\nStudent id starting with', char, ':')\nprint(result)"""	char	TBD1	str
